bid_id,user_id,group_order_id,price_per_unit,available_quantity,delivery_time,is_accepted
1,746,180,12.26,84.77,23:06:39,True
2,426,16,14.68,129.08,03:06:39,True
3,229,372,12.35,120.87,04:06:39,False
4,854,210,8.05,112.71,20:06:39,False
5,525,446,12.0,129.87,21:06:39,True
6,475,383,9.23,113.41,04:06:39,False
7,994,232,11.11,89.7,03:06:39,True
8,992,341,10.73,111.77,04:06:39,True
9,81,398,9.96,145.51,04:06:39,False
10,985,126,13.23,64.99,23:06:39,False
11,168,149,14.48,97.78,02:06:39,True
12,581,268,11.8,164.06,03:06:39,True
13,674,275,14.91,71.43,03:06:39,False
14,259,203,9.58,136.99,04:06:39,False
15,158,282,10.3,179.64,06:06:39,True
16,415,48,8.46,122.2,23:06:39,False
17,994,171,12.7,132.42,21:06:39,False
18,361,138,12.33,169.38,06:06:39,True
19,504,182,9.3,170.11,22:06:39,True
20,22,178,8.78,175.9,20:06:39,True
21,643,228,9.15,81.39,02:06:39,True
22,548,334,8.07,135.32,21:06:39,True
23,582,456,13.29,131.46,00:06:39,True
24,293,419,14.63,53.8,19:06:39,False
25,342,26,12.52,174.44,01:06:39,True
26,449,87,9.27,148.67,02:06:39,False
27,292,302,10.15,56.14,05:06:39,False
28,993,134,9.9,92.43,02:06:39,False
29,704,62,12.25,92.51,23:06:39,False
30,197,306,12.43,125.09,21:06:39,False
31,461,54,12.12,103.86,01:06:39,True
32,729,113,14.45,118.75,23:06:39,False
33,789,175,11.76,70.83,04:06:39,True
34,293,205,10.82,171.32,06:06:39,True
35,457,164,9.11,136.56,03:06:39,True
36,803,477,12.02,142.29,21:06:39,True
37,794,143,12.99,117.28,03:06:39,False
38,268,170,9.81,130.51,00:06:39,True
39,322,224,8.88,182.42,19:06:39,True
40,914,328,14.44,77.64,00:06:39,True
41,781,138,13.28,137.8,20:06:39,False
42,255,192,8.87,126.28,21:06:39,True
43,721,14,8.69,85.42,19:06:39,False
44,286,165,9.16,143.76,19:06:39,False
45,240,146,10.93,160.97,23:06:39,False
46,779,19,9.7,197.45,19:06:39,False
47,933,18,11.62,75.15,20:06:39,False
48,562,324,14.79,187.27,00:06:39,True
49,364,388,13.26,94.28,03:06:39,False
50,480,133,13.91,196.79,01:06:39,False
51,880,462,10.69,102.81,20:06:39,True
52,185,232,13.67,135.18,01:06:39,False
53,579,129,14.11,176.61,02:06:39,True
54,890,28,13.91,124.69,00:06:39,True
55,467,120,12.08,71.88,01:06:39,True
56,980,187,13.65,122.9,23:06:39,True
57,700,446,10.14,149.69,06:06:39,True
58,735,97,10.61,72.87,19:06:39,True
59,722,106,12.15,152.11,06:06:39,False
60,159,153,11.45,166.96,22:06:39,True
61,298,431,8.9,169.91,22:06:39,True
62,828,113,9.64,66.64,04:06:39,True
63,629,29,9.51,98.23,01:06:39,False
64,695,331,13.52,68.51,02:06:39,False
65,167,462,11.47,150.29,02:06:39,True
66,162,34,9.52,77.23,00:06:39,True
67,947,436,9.08,180.11,01:06:39,True
68,922,274,10.4,131.25,19:06:39,True
69,322,278,12.15,195.92,03:06:39,True
70,848,434,11.69,134.37,19:06:39,True
71,426,247,13.11,193.42,03:06:39,True
72,754,427,14.44,123.84,22:06:39,False
73,819,422,13.59,139.14,02:06:39,True
74,754,20,12.24,77.81,06:06:39,True
75,888,335,13.13,110.42,21:06:39,False
76,707,75,8.01,190.42,22:06:39,False
77,508,304,10.35,119.29,05:06:39,True
78,985,166,8.01,55.9,21:06:39,True
79,700,360,13.98,156.56,05:06:39,False
80,558,344,9.89,161.15,03:06:39,True
81,805,383,8.75,121.44,20:06:39,True
82,277,233,13.65,166.36,19:06:39,True
83,553,83,10.16,130.25,22:06:39,True
84,409,116,13.17,167.53,20:06:39,True
85,520,444,12.03,186.74,22:06:39,True
86,964,339,8.49,125.11,19:06:39,False
87,124,119,12.08,151.64,06:06:39,False
88,726,110,8.88,66.99,20:06:39,True
89,281,402,8.14,199.1,05:06:39,False
90,984,375,9.21,103.45,03:06:39,False
91,322,348,8.2,122.52,06:06:39,False
92,967,158,12.26,142.74,22:06:39,False
93,686,201,10.29,61.77,21:06:39,True
94,415,473,11.16,174.37,22:06:39,True
95,336,100,8.7,104.88,03:06:39,False
96,98,29,10.39,178.61,05:06:39,False
97,457,182,12.31,177.88,19:06:39,False
98,776,416,9.7,170.64,05:06:39,False
99,310,414,11.45,191.85,03:06:39,False
100,965,422,8.22,187.43,01:06:39,True
101,115,344,11.0,122.17,23:06:39,True
102,554,457,14.24,99.36,02:06:39,True
103,562,141,11.08,161.27,21:06:39,False
104,129,389,14.59,117.19,19:06:39,True
105,167,193,8.84,97.99,05:06:39,False
106,419,456,13.53,86.23,23:06:39,False
107,885,115,8.67,186.33,20:06:39,False
108,854,361,13.12,51.68,05:06:39,True
109,843,66,8.86,69.31,01:06:39,False
110,879,353,14.21,138.6,23:06:39,True
111,153,442,13.06,123.33,21:06:39,False
112,91,416,14.16,67.33,22:06:39,True
113,276,402,8.99,160.4,00:06:39,False
114,449,227,14.81,174.56,00:06:39,False
115,870,304,13.85,164.93,00:06:39,True
116,64,110,10.79,50.59,01:06:39,True
117,140,133,11.41,192.0,21:06:39,True
118,754,250,9.84,191.96,03:06:39,True
119,823,106,11.09,135.56,00:06:39,False
120,292,56,12.92,99.36,00:06:39,True
121,141,14,9.07,196.22,19:06:39,False
122,870,349,9.75,133.45,05:06:39,True
123,266,358,12.92,197.89,02:06:39,False
124,710,493,11.43,129.09,20:06:39,True
125,828,395,10.54,140.39,23:06:39,True
126,794,191,10.04,77.1,23:06:39,False
127,153,372,10.43,99.52,00:06:39,False
128,845,497,9.48,142.75,22:06:39,True
129,571,335,10.08,196.14,05:06:39,False
130,431,397,11.83,56.75,23:06:39,False
131,171,243,9.45,55.87,19:06:39,True
132,222,7,8.54,199.42,01:06:39,True
133,131,132,12.78,134.71,05:06:39,True
134,979,126,14.78,96.64,23:06:39,True
135,938,173,14.27,189.58,19:06:39,True
136,585,80,12.59,88.19,22:06:39,True
137,128,440,10.55,77.96,04:06:39,True
138,80,6,10.7,139.1,19:06:39,False
139,879,483,9.47,117.93,01:06:39,True
140,256,396,9.35,199.97,23:06:39,True
141,575,483,11.85,102.05,23:06:39,True
142,753,257,14.73,162.82,00:06:39,False
143,393,443,13.27,153.91,02:06:39,False
144,392,272,9.7,187.13,03:06:39,True
145,281,352,8.63,85.76,19:06:39,True
146,288,394,11.78,129.51,03:06:39,False
147,66,275,14.46,118.61,05:06:39,True
148,574,469,13.65,108.58,21:06:39,False
149,7,75,14.88,138.9,02:06:39,False
150,542,147,14.85,185.93,02:06:39,True
151,139,386,8.4,126.43,19:06:39,False
152,255,315,14.23,93.26,01:06:39,False
153,608,411,11.37,67.53,19:06:39,True
154,299,154,12.88,72.92,19:06:39,True
155,58,354,12.65,153.19,03:06:39,False
156,102,150,15.0,136.16,04:06:39,True
157,989,106,13.75,107.3,06:06:39,True
158,505,130,13.24,158.47,23:06:39,False
159,109,115,13.37,56.12,04:06:39,True
160,258,186,11.9,137.98,19:06:39,False
161,159,199,12.25,148.8,01:06:39,False
162,238,397,11.45,107.75,19:06:39,False
163,967,203,13.54,109.39,02:06:39,True
164,128,149,9.3,158.65,23:06:39,False
165,240,193,9.01,75.84,00:06:39,False
166,608,210,12.31,120.08,02:06:39,True
167,137,39,9.36,87.64,04:06:39,False
168,853,195,14.15,53.18,05:06:39,True
169,417,59,14.21,160.44,21:06:39,False
170,232,378,10.66,72.3,19:06:39,True
171,59,227,10.11,81.7,05:06:39,False
172,980,305,13.24,140.11,21:06:39,True
173,623,492,8.94,56.16,23:06:39,False
174,558,138,9.44,123.34,19:06:39,True
175,423,70,10.89,67.33,23:06:39,True
176,199,242,8.65,134.01,23:06:39,False
177,884,183,10.46,184.17,00:06:39,False
178,37,265,12.84,87.36,06:06:39,True
179,803,171,9.48,195.81,05:06:39,True
180,938,339,13.51,127.94,06:06:39,False
181,124,472,12.11,162.25,21:06:39,True
182,185,290,8.19,141.97,21:06:39,False
183,911,10,11.92,146.46,03:06:39,False
184,570,43,12.94,184.19,03:06:39,True
185,952,164,13.46,111.41,01:06:39,True
186,620,378,12.94,163.95,04:06:39,True
187,575,455,14.36,158.64,02:06:39,False
188,667,303,10.6,82.43,20:06:39,False
189,141,67,10.31,57.91,04:06:39,True
190,935,259,14.52,138.06,05:06:39,True
191,11,194,14.56,187.2,21:06:39,True
192,290,469,13.13,127.32,22:06:39,True
193,449,371,12.68,105.42,20:06:39,False
194,210,290,13.25,79.48,01:06:39,True
195,851,258,13.62,126.79,01:06:39,True
196,32,37,14.25,119.72,22:06:39,False
197,580,326,14.75,199.88,21:06:39,False
198,890,136,12.53,93.12,19:06:39,False
199,772,65,10.89,134.94,06:06:39,True
200,511,77,14.12,61.88,02:06:39,False
201,999,167,8.63,125.33,03:06:39,True
202,993,281,9.08,52.02,03:06:39,True
203,336,455,9.24,55.11,02:06:39,False
204,579,239,10.63,168.18,20:06:39,True
205,178,283,10.78,79.42,20:06:39,True
206,96,285,13.24,65.98,21:06:39,True
207,516,126,8.3,122.6,19:06:39,True
208,75,489,8.28,185.02,23:06:39,True
209,737,242,14.78,165.59,00:06:39,True
210,208,389,9.26,163.96,06:06:39,False
211,475,36,10.48,103.55,21:06:39,False
212,436,432,8.9,144.77,00:06:39,False
213,358,278,8.66,74.47,19:06:39,True
214,991,29,13.77,194.94,20:06:39,False
215,935,430,8.18,155.21,23:06:39,False
216,777,413,11.38,108.77,03:06:39,True
217,133,488,8.56,98.91,06:06:39,False
218,667,428,10.74,152.08,06:06:39,False
219,947,321,11.58,78.06,19:06:39,False
220,429,148,14.32,130.67,00:06:39,True
221,522,259,9.74,84.44,04:06:39,False
222,266,6,14.29,125.77,21:06:39,True
223,523,285,11.01,62.86,05:06:39,True
224,274,130,14.03,108.28,20:06:39,True
225,709,181,8.3,126.6,04:06:39,True
226,753,425,14.64,69.88,23:06:39,False
227,956,368,8.33,99.13,06:06:39,False
228,474,175,14.62,93.87,01:06:39,False
229,181,189,13.23,94.81,20:06:39,True
230,925,224,9.16,192.29,23:06:39,False
231,286,5,8.71,59.38,00:06:39,False
232,65,142,13.43,57.33,23:06:39,True
233,17,233,11.69,64.59,06:06:39,False
234,171,329,10.14,180.09,02:06:39,True
235,365,195,13.0,177.12,20:06:39,True
236,879,348,10.79,94.97,03:06:39,False
237,541,216,13.03,189.36,01:06:39,False
238,102,286,10.65,113.09,02:06:39,True
239,805,280,12.15,129.93,00:06:39,False
240,149,277,13.12,107.48,20:06:39,True
241,721,115,12.86,154.89,03:06:39,True
242,158,415,12.72,63.44,19:06:39,True
243,881,41,13.07,161.64,01:06:39,False
244,767,123,11.6,196.86,23:06:39,False
245,365,22,9.02,62.24,00:06:39,False
246,401,327,11.18,102.86,06:06:39,True
247,449,101,9.27,166.08,21:06:39,False
248,412,404,14.58,180.17,22:06:39,False
249,890,104,12.08,110.14,00:06:39,False
250,261,284,13.18,182.67,20:06:39,False
251,598,182,11.32,136.72,02:06:39,False
252,921,9,11.27,112.71,19:06:39,False
253,582,1,10.49,77.66,05:06:39,False
254,377,65,11.44,172.88,19:06:39,True
255,55,92,8.14,131.08,19:06:39,False
256,593,382,8.28,71.97,05:06:39,True
257,447,330,12.08,54.35,05:06:39,True
258,740,150,14.3,60.77,19:06:39,True
259,863,81,11.35,53.78,00:06:39,False
260,849,4,9.85,193.61,21:06:39,True
261,238,240,8.76,78.99,01:06:39,True
262,28,163,10.06,195.36,00:06:39,True
263,402,185,8.86,70.35,20:06:39,True
264,407,290,10.99,54.57,19:06:39,False
265,366,138,14.13,97.1,03:06:39,True
266,512,253,12.85,141.69,00:06:39,True
267,202,339,13.06,119.32,02:06:39,True
268,389,429,10.43,72.42,20:06:39,False
269,986,202,11.17,120.91,01:06:39,True
270,8,445,12.86,101.49,20:06:39,False
271,158,131,14.67,99.24,23:06:39,False
272,411,406,13.43,188.65,21:06:39,False
273,819,37,11.0,93.95,00:06:39,True
274,467,469,12.14,105.02,23:06:39,True
275,955,38,8.18,76.26,19:06:39,True
276,329,21,13.37,161.0,00:06:39,False
277,370,225,9.55,144.27,01:06:39,False
278,271,272,10.4,114.99,23:06:39,False
279,959,468,8.33,194.88,06:06:39,True
280,366,293,11.06,159.29,00:06:39,True
281,370,304,11.91,160.87,04:06:39,False
282,503,172,12.66,199.22,03:06:39,True
283,34,366,8.55,135.91,05:06:39,False
284,851,185,9.07,114.8,05:06:39,True
285,772,27,8.39,159.15,05:06:39,True
286,596,144,8.36,133.57,23:06:39,True
287,780,208,14.43,79.15,01:06:39,False
288,947,234,9.08,174.76,02:06:39,True
289,423,251,12.51,186.17,23:06:39,True
290,211,107,11.22,50.84,22:06:39,True
291,525,275,8.62,149.23,20:06:39,True
292,414,99,11.85,196.42,04:06:39,False
293,114,168,14.99,184.11,19:06:39,True
294,581,451,8.94,121.26,00:06:39,False
295,236,213,13.44,51.15,06:06:39,False
296,727,259,10.59,143.5,19:06:39,False
297,384,330,11.32,99.39,03:06:39,True
298,911,367,10.6,172.38,03:06:39,False
299,857,465,13.94,108.74,00:06:39,False
300,203,99,13.15,164.51,21:06:39,True
301,806,450,9.4,168.09,03:06:39,True
302,346,306,14.28,78.81,00:06:39,False
303,567,139,14.92,195.81,22:06:39,False
304,884,489,14.65,96.77,06:06:39,False
305,309,322,9.17,136.94,23:06:39,False
306,462,442,10.98,116.49,23:06:39,True
307,727,149,12.06,165.42,22:06:39,True
308,290,156,14.96,102.57,05:06:39,False
309,217,475,8.36,81.44,01:06:39,True
310,849,250,14.27,164.24,01:06:39,True
311,582,15,9.42,188.88,05:06:39,True
312,463,92,10.92,185.46,20:06:39,False
313,679,75,14.42,65.72,23:06:39,True
314,866,155,8.75,127.38,06:06:39,True
315,979,407,14.11,179.3,06:06:39,False
316,722,455,14.59,64.87,01:06:39,True
317,60,78,12.25,135.38,05:06:39,True
318,276,67,11.6,180.63,05:06:39,True
319,465,112,10.85,141.08,03:06:39,False
320,979,412,8.76,188.05,23:06:39,True
321,715,433,13.97,106.07,03:06:39,True
322,972,104,14.53,66.78,03:06:39,True
323,215,4,9.97,64.6,23:06:39,True
324,842,368,14.04,189.14,01:06:39,True
325,731,161,14.88,113.66,22:06:39,True
326,626,43,12.48,52.84,01:06:39,True
327,259,52,13.85,65.39,04:06:39,True
328,866,189,12.61,85.78,01:06:39,False
329,664,84,13.11,117.61,19:06:39,True
330,759,233,10.05,151.89,02:06:39,True
331,141,468,8.12,109.68,06:06:39,True
332,847,421,8.29,182.76,00:06:39,True
333,343,321,9.93,183.06,22:06:39,True
334,765,2,14.4,96.6,00:06:39,True
335,509,195,13.47,61.26,04:06:39,False
336,409,402,8.51,103.86,03:06:39,True
337,406,304,13.43,174.32,20:06:39,False
338,136,400,11.92,123.35,02:06:39,True
339,525,15,14.17,54.08,21:06:39,False
340,505,76,14.39,81.63,00:06:39,True
341,59,273,11.52,199.26,06:06:39,True
342,623,43,8.18,105.06,19:06:39,True
343,411,390,12.41,173.68,20:06:39,False
344,138,279,13.32,147.36,04:06:39,True
345,712,380,9.45,137.05,04:06:39,True
346,59,297,9.69,108.39,03:06:39,False
347,702,214,8.76,122.49,02:06:39,True
348,197,85,8.04,106.35,05:06:39,True
349,728,308,13.09,113.08,03:06:39,False
350,260,295,10.38,113.97,19:06:39,True
351,542,449,13.76,115.29,22:06:39,False
352,80,260,10.68,132.09,05:06:39,True
353,44,342,12.12,139.8,22:06:39,True
354,133,24,12.25,88.05,04:06:39,True
355,336,495,10.66,156.89,02:06:39,False
356,211,226,8.39,187.87,03:06:39,True
357,259,398,9.17,136.97,22:06:39,False
358,56,195,13.74,148.54,21:06:39,True
359,306,259,12.33,75.38,00:06:39,False
360,208,465,11.19,98.59,21:06:39,True
361,894,352,12.95,86.02,06:06:39,False
362,516,49,9.3,175.0,23:06:39,True
363,423,244,12.04,128.52,21:06:39,False
364,89,207,13.44,172.4,21:06:39,True
365,523,71,9.96,140.85,05:06:39,True
366,765,183,9.01,108.46,23:06:39,True
367,790,380,8.47,117.49,04:06:39,True
368,336,107,12.35,73.25,20:06:39,True
369,44,75,11.93,112.87,00:06:39,False
370,613,141,10.71,78.67,01:06:39,True
371,199,374,11.73,77.32,21:06:39,False
372,582,106,9.01,138.47,02:06:39,False
373,968,108,13.6,115.67,22:06:39,False
374,737,475,8.44,142.41,23:06:39,True
375,171,226,14.3,97.9,01:06:39,False
376,561,451,13.61,124.72,21:06:39,True
377,757,450,12.72,129.59,23:06:39,False
378,753,96,14.3,55.78,05:06:39,False
379,667,227,9.94,62.97,20:06:39,False
380,406,51,8.8,194.0,19:06:39,False
381,161,368,12.95,191.91,00:06:39,False
382,780,168,14.59,69.72,00:06:39,False
383,847,348,14.66,151.96,04:06:39,False
384,232,400,14.9,83.39,22:06:39,True
385,236,415,12.46,123.73,20:06:39,True
386,967,374,8.16,154.9,20:06:39,True
387,968,459,11.14,195.43,20:06:39,True
388,234,115,8.12,132.76,20:06:39,False
389,276,182,13.49,60.72,05:06:39,False
390,221,225,12.26,52.21,22:06:39,False
391,255,235,9.3,51.57,05:06:39,True
392,393,40,11.75,130.01,02:06:39,False
393,101,312,12.37,106.91,20:06:39,False
394,991,334,8.53,146.25,21:06:39,False
395,452,408,14.88,158.88,06:06:39,False
396,406,222,8.12,169.74,19:06:39,False
397,200,73,14.93,158.18,01:06:39,True
398,124,147,12.24,152.46,05:06:39,True
399,61,7,8.94,108.16,05:06:39,True
400,660,369,12.41,113.48,05:06:39,False
401,673,483,9.95,102.27,03:06:39,True
402,956,339,13.57,140.84,20:06:39,False
403,967,401,8.48,80.39,20:06:39,True
404,700,96,9.75,170.71,03:06:39,True
405,781,491,9.12,195.0,05:06:39,True
406,673,124,10.0,146.42,22:06:39,True
407,660,493,9.19,74.02,01:06:39,False
408,550,295,11.21,174.94,06:06:39,False
409,579,111,12.66,189.4,05:06:39,False
410,803,341,13.88,75.59,00:06:39,False
411,955,400,13.14,72.4,01:06:39,False
412,147,107,12.94,122.74,01:06:39,False
413,252,438,9.81,150.26,23:06:39,False
414,985,385,8.19,71.86,22:06:39,False
415,289,321,9.62,148.05,20:06:39,False
416,138,212,14.8,109.58,22:06:39,True
417,851,20,13.51,159.55,04:06:39,True
418,105,176,8.47,145.45,19:06:39,False
419,896,372,14.66,153.11,06:06:39,True
420,707,10,9.35,151.54,21:06:39,False
421,523,187,8.86,85.43,19:06:39,True
422,765,136,8.97,177.09,02:06:39,True
423,377,445,11.31,90.1,19:06:39,True
424,593,444,9.2,82.48,19:06:39,True
425,943,307,8.93,118.18,01:06:39,False
426,582,100,11.01,123.56,22:06:39,True
427,523,53,10.06,60.56,21:06:39,True
428,389,288,10.68,130.77,00:06:39,True
429,674,210,12.37,149.03,04:06:39,True
430,8,497,8.16,132.5,05:06:39,True
431,720,306,12.14,196.6,23:06:39,True
432,510,71,12.43,188.94,05:06:39,True
433,20,282,13.66,83.58,05:06:39,True
434,964,376,11.56,132.7,19:06:39,True
435,154,85,10.42,180.54,04:06:39,False
436,332,361,8.28,108.73,00:06:39,True
437,992,48,9.33,111.86,22:06:39,False
438,66,109,11.98,182.04,04:06:39,False
439,212,392,13.47,189.48,02:06:39,False
440,903,500,9.16,57.4,04:06:39,True
441,399,315,14.91,66.22,19:06:39,True
442,687,441,13.69,63.11,05:06:39,True
443,429,402,11.3,152.97,03:06:39,True
444,152,234,12.54,157.19,06:06:39,True
445,667,244,14.6,82.73,04:06:39,False
446,445,494,8.69,138.1,20:06:39,False
447,631,220,12.77,61.23,01:06:39,True
448,37,455,12.29,185.87,00:06:39,True
449,737,408,12.43,191.68,04:06:39,False
450,895,116,11.34,147.13,05:06:39,True
451,700,478,11.51,91.41,06:06:39,False
452,286,439,12.67,129.28,03:06:39,False
453,709,252,11.0,56.0,00:06:39,True
454,343,41,13.55,164.95,06:06:39,False
455,844,461,8.46,196.05,21:06:39,False
456,81,66,12.69,177.42,06:06:39,True
457,342,47,13.65,151.26,21:06:39,False
458,511,431,11.23,165.08,03:06:39,True
459,401,267,8.95,82.66,01:06:39,False
460,305,64,8.47,148.25,20:06:39,False
461,668,159,10.24,121.49,00:06:39,False
462,980,204,10.08,190.27,23:06:39,False
463,579,30,11.25,122.48,06:06:39,True
464,738,42,8.25,60.86,01:06:39,False
465,462,20,10.51,99.59,06:06:39,True
466,673,482,14.28,155.7,19:06:39,False
467,635,233,13.28,181.63,19:06:39,True
468,41,404,14.49,178.0,21:06:39,False
469,461,254,13.81,152.63,22:06:39,False
470,768,309,13.28,56.92,04:06:39,False
471,917,378,14.3,75.35,20:06:39,True
472,999,261,8.47,121.83,05:06:39,True
473,212,484,13.17,144.76,03:06:39,False
474,352,99,8.81,179.13,02:06:39,True
475,224,458,10.05,164.84,05:06:39,False
476,642,254,9.21,127.17,02:06:39,True
477,513,388,8.61,165.54,21:06:39,True
478,200,35,13.55,158.04,01:06:39,False
479,673,285,11.67,136.44,01:06:39,False
480,260,425,11.67,161.01,06:06:39,True
481,779,57,8.43,168.05,01:06:39,True
482,45,461,9.08,104.19,03:06:39,True
483,236,466,13.45,177.07,22:06:39,True
484,865,46,14.14,161.6,19:06:39,False
485,81,201,11.42,152.27,03:06:39,False
486,310,72,14.43,179.26,21:06:39,True
487,924,371,10.98,182.21,01:06:39,False
488,393,443,14.01,141.55,02:06:39,False
489,575,149,13.63,162.61,00:06:39,True
490,667,123,14.75,84.48,22:06:39,True
491,231,316,14.94,173.09,01:06:39,False
492,787,296,11.22,69.87,21:06:39,False
493,783,302,10.15,191.46,06:06:39,True
494,429,246,9.02,157.14,00:06:39,False
495,976,41,14.58,140.39,02:06:39,True
496,81,396,12.17,61.75,04:06:39,False
497,866,145,14.87,124.91,22:06:39,True
498,238,96,12.77,146.44,03:06:39,False
499,954,415,10.83,157.83,20:06:39,True
500,322,1,10.08,105.13,21:06:39,True
